Carrier,Route ID,Cluster,Stops,Stop Sequence,Detailed Route,Total Route Mileage,Has Restrictions?,Trailer Size,Temp Zones,Total Pallets,Truck Utilization,Total Travel (min),Total Stop Time (min),Total Duration (min),HOS Status,Estimated Cost,Mileage Status,Notes,Map Link
CIR,CIR_1,Others,3,"8002 (AMB) / 8006 (AMB,CHI) / 8021 (AMB)",8002 (6.2 mi) -> 8006 (12.2 mi) -> 8021,403,No,53',Dual Temp,24.42,93.90%,458.00,60.00,548,OK,N/A,OK, [Front: 3 ambient stops | Rear: 1 cold stops],N/A
CIR,CIR_2,Others,3,"1545 (AMB,CHI) / 1433 (AMB) / 1443 (AMB)",1545 (40.1 mi) -> 1433 (18.3 mi) -> 1443,349,No,53',Dual Temp,24.93,95.90%,452.00,60.00,542,OK,32.61,OK, [Front: 3 ambient stops | Rear: 1 cold stops],N/A
CIR,CIR_3,Others,3,"1564 (AMB,CHI) / 8004 (AMB,CHI) / 8017 (AMB)",1564 (34.2 mi) -> 8004 (11.3 mi) -> 8017,410,No,53',Dual Temp,25.93,99.70%,469.00,75.00,574,OK,96.99,OK, [Front: 3 ambient stops | Rear: 2 cold stops],N/A
CIR,CIR_4,Others,3,"1119 (AMB) / 1440 (AMB,CHI) / 1448 (AMB,CHI)",1119 (37.9 mi) -> 1440 (15.2 mi) -> 1448,377,No,53',Dual Temp,23.32,89.70%,455.00,75.00,560,OK,N/A,OK, [Front: 3 ambient stops | Rear: 2 cold stops],N/A
SCH,SCH_5,Others,3,1561 (AMB) / 1559 (AMB) / 8002 (CHI),1561 (9.5 mi) -> 1559 (18.4 mi) -> 8002,376,Yes,48',Dual Temp,20.95,95.20%,459.00,45.00,534,OK,288,OK, [COLD CHAIN WARNING] [Front: 2 ambient stops | Rear: 1 cold stops],N/A
SCH,SCH_6,Others,3,"1581 (AMB,CHI) / 1119 (CHI) / 1561 (CHI)",1581 (27.9 mi) -> 1119 (41.7 mi) -> 1561,388,No,53',Dual Temp,23.04,88.60%,473.00,60.00,563,OK,445.54,OK, [Front: 1 ambient stops | Rear: 3 cold stops],N/A
SCH,SCH_7,Others,3,1410 (AMB) / 1567 (CHI) / 1572 (CHI),1410 (19.3 mi) -> 1567 (24.9 mi) -> 1572,384,Yes,48',Dual Temp,21.74,98.80%,442.00,45.00,517,OK,419.33,OK, [COLD CHAIN WARNING] [Front: 1 ambient stops | Rear: 2 cold stops],N/A
SCH,SCH_8,Others,3,"1203 (AMB,CHI) / 1094 (AMB,CHI) / 1431 (CHI)",1203 (41 mi) -> 1094 (22.6 mi) -> 1431,182,No,53',Dual Temp,24.04,92.50%,227,75,302,OK,228.5,OK, [Front: 2 ambient stops | Rear: 3 cold stops],N/A
SCH,SCH_9,Others,3,1576 (AMB) / 1559 (CHI) / 1590 (CHI),1576 (13.2 mi) -> 1559 (9.3 mi) -> 1590,390,Yes,36',Dual Temp,17.08,94.90%,458,45,533,OK,295,OK, [COLD CHAIN WARNING] [Front: 1 ambient stops | Rear: 2 cold stops],N/A
SCH,SCH_10,Others,3,1579 (AMB) / 1567 (AMB) / 1576 (CHI),1579 (16.3 mi) -> 1567 (31.8 mi) -> 1576,401,Yes,48',Dual Temp,19.15,87.00%,462,45,537,OK,332.83,OK, [COLD CHAIN WARNING] [Front: 2 ambient stops | Rear: 1 cold stops],N/A
