Partially communicated,Circle Logistics,CIR_1ST_DT.04,1,1000,8004-8021-8007-8008,Sun 19:00,Late,11:46:00,"8004 (AMB,CHL,FRZ,PRO) / 8021 (FRZ) / 8007 (FRZ) / 8008 (FRZ)",23.32,"10,40,50,60,70",,3 TEMP,,,,429.8,86.40%,8008,00 No Violations
C,,CIR_1ST_DT.05,1,1010,UNUSED,Sun 19:00,Late,0:00,UNUSED,0,,,,,,,0,0.00%,,00 No Violations
C,,CRE_1ST_DT.03,1,840,UNUSED,Sun 19:00,Late,0:00,UNUSED,0,,,,,,,0,0.00%,,00 No Violations
C,,CRE_1ST_DT.04,1,850,UNUSED,Sun 19:00,Late,0:00,UNUSED,0,,,,,,,0,0.00%,,00 No Violations
Partially communicated,"C. R. England, Inc.",CRE_1ST_DT.05,1,860,1162-1203-1484,Sun 19:00,Late,7:16,"1162 (AMB,PRO) / 1203 (ALL) / 1484 (CHL)",29.17,"10,20,40,50,70,80",,,,,,175.7,100.00%,1484,00 No Violations
Partially communicated,"C. R. England, Inc.",CRE_1ST_DT.08,1,890,1138-1250-1162,Sun 19:00,Late,8:30,"1138 (ALL) / 1250 (CHL,PRO) / 1162 (CHL)",25.91,"10,20,40,50,70,80",,,,,,210,96.00%,1162,00 No Violations
Fully picked,"C. R. England, Inc.",CRE_1ST_DT.09,1,900,1407-1023-1081-1566-1352-1442,Sun 19:00,Late,10:06,"1407 (AMB,PRO) / 1023 (AMB,FRZ,PRO) / 1081 (FRZ) / 1566 (FRZ) / 1352 (FRZ) / 1442 (FRZ)",22.56,"10,60,70",,,,,,302.4,83.60%,1442,00 No Violations
Partially communicated,"C. R. England, Inc.",CRE_1ST_DT.10,1,910,1094-1425-1177,Sun 19:00,Late,10:16,"1094 (AMB,PRO) / 1425 (ALL) / 1177 (CHL,PRO)",27.78,"10,20,40,50,70,80",,,,,,319.6,100.00%,1177,00 No Violations
Partially communicated,"C. R. England, Inc.",CRE_1ST_DT.11,1,920,1443-1440,Sun 19:00,Late,9:47,1443 (ALL) / 1440 (CHL),16.76,"10,40,50,70",,,,,,338.1,62.10%,1440,00 No Violations
Partially communicated,"C. R. England, Inc.",CRE_1ST_DT.14,1,950,1440-1581-1410-1567,Sun 19:00,Late,10:36,"1440 (PRO) / 1581 (AMB,PRO) / 1410 (AMB,PRO) / 1567 (AMB,FRZ,PRO)",23.23,"10,20,60,70,80",,,,,,366.7,86.00%,1567,00 No Violations
Partially communicated,"C. R. England, Inc.",CRE_1ST_DT.16,1,1470,1564-1567-1410,Sun 19:00,Late,10:53,1564 (ALL) / 1567 (CHL) / 1410 (CHL),21.65,"10,20,40,50,70,80",,,,,,368.8,80.20%,1410,00 No Violations
Partially communicated,"C. R. England, Inc.",CRE_1ST_DT.19,1,1580,1572-1576,Sun 19:00,Late,10:35,1572 (ALL) / 1576 (CHL),26.61,"10,20,40,50,70",,,,,,367.9,98.60%,1576,00 No Violations
Fully picked,"C. R. England, Inc.",CRE_1ST_LG48.03,1,1360,1576-1572-1559,Sun 19:00,Late,10:21,"1576 (AMB,FRZ,PRO) / 1572 (FRZ) / 1559 (FRZ)",23,"10,60,70",,,,,,374.4,92.00%,1559,00 No Violations
Partially communicated,Hirschbach,HB_1ST_DT.03,1,1590,1429-1434,Sun 19:00,Late,8:32,1429 (ALL) / 1434 (CHL),26.28,"10,20,40,50,70,80",,,,,,246.9,97.30%,1434,00 No Violations
Partially communicated,Hirschbach,HB_1ST_DT.04,1,1600,1434-1433-1119,Sun 19:00,Late,10:06,"1434 (AMB,PRO) / 1433 (ALL) / 1119 (ALL)",26.08,"10,20,40,50,70,80",,,,,,304.5,96.60%,1119,00 No Violations
