STORE NAME,CLUSTER_1,CLUSTER_2,CLUSTER_3,CLUSTER_4
1023,Maryland/WestPa,,,
1035,Philly,SouthJersey,Delaware,
1081,Maryland/WestPa,Delaware,,
1094,SouthJersey,Philly,,
1096,EastPa,Philly,,
1119,NorthJersey,,,
1129,Delaware,Maryland/WestPa,SouthJersey,
1134,MorningStores,,,
1138,Philly,EastPa,Maryland/WestPa,
1162,Philly,EastPa,SouthJersey,
1166,Delaware,Maryland/WestPa,SouthJersey,EastJersey
1176,EastJersey,Philly,,
1177,EastJersey,Philly,,
1203,Philly,EastJersey,EastPa,Maryland/WestPa
1246,EastPa,Philly,Maryland/WestPa,
1250,Philly,EastJersey,EastPa,SouthJersey
1342,Philly,EastJersey,EastPa,Maryland/WestPa
1352,Maryland/WestPa,Philly,EastPa,
1372,NorthJersey,,,
1407,Delaware,Maryland/WestPa,SouthJersey,EastJersey
1410,UpperNorthJersey,NorthJersey,,
1411,Philly,EastPa,Maryland/WestPa,
1423,NorthJersey,Philly,,
1425,EastJersey,Philly,,
1429,Philly,NorthJersey,EastJersey,EastPa
1431,SouthJersey,Philly,,
1433,NorthJersey,,,
1434,NorthJersey,Philly,EastJersey,
1440,UpperNorthJersey,NorthJersey,,
1442,EastPa,Philly,Maryland/WestPa,
1443,NorthJersey,UpperNorthJersey,,
1448,UpperNorthJersey,NorthJersey,,
1449,NorthJersey,UpperNorthJersey,,
1454,NorthJersey,UpperNorthJersey,,
1463,SouthJersey,Philly,,
1467,UpperNorthJersey,,,
1473,LGMain,UpperWestLG,,
1482,NorthJersey,UpperNorthJersey,,
1484,EastPa,Philly,Maryland/WestPa,
1499,UpperEastLG,,,
1503,LowerMidLG,UpperMidLG,,
1506,Philly,EastJersey,EastPa,Maryland/WestPa
1527,NorthJersey,,,
1531,UpperMidLG,UpperEastLG,,
1545,EastJersey,Philly,,
1559,LGMain,,,
1564,UpperNYC,NYC,UpperNorthJersey,
1566,Maryland/WestPa,,,
1571,NYC,,,
1572,LGMain,,,
1574,NYC,UpperNYC,,
1576,UpperWestLG,LGMain,,
1579,LGMain,,,
1580,LGMain,,,
1581,NewYork,,,
1590,NYC,LGMain,NorthJersey,
8001,LowerMidLG,,,
8002,LowerWestLG,,,
8003,UpperMidLG,,,
8004,UpperMidLG,UpperWestLG,LowerMidLG,
8006,LowerWestLG,,,
8007,LowerMidLG,LowerWestLG,,
8008,LowerMidLG,LowerWestLG,,
8009,LowerMidLG,LowerWestLG,,
8011,NYC,,,
8012,LowerMidLG,LowerEastLG,,
8013,LowerEastLG,LowerMidLG,,
8014,NewYork,,,
8015,LGMain,UpperWestLG,,
8017,LowerWestLG,LowerMidLG,,
8018,LowerEastLG,,,
8019,UpperEastLI,,,
8020,LowerEastLG,,,
8021,UpperMidLG,LowerMidLG,,
8023,LowerWestLG,UpperWestLG,,
8024,LowerMidLG,,,
8025,UpperEastLI,,,
8026,LowerEastLG,,,
90005,Warehouse,,,
90006,External,,,
BAKKAFROST,UpperNorthJersey,,,
CiboVita,UpperNorthJersey,,,
Congressional,Maryland/WestPa,,,
LASSONDE,SouthJersey,Philly,,
ONEBANANA,SouthJersey,Philly,,
PREMIO,UpperNorthJersey,,,
