From,To,Profile,Category,TollCost
1023,1023,T1,1,0
1023,1035,T1,1,57
1023,1081,T1,1,0
1023,1091,T1,1,57
1023,1094,T1,1,57
1023,1096,T1,1,74
1023,1119,T1,1,102.48
1023,1129,T1,1,57
1023,1134,T1,1,90.63
1023,1138,T1,1,57
1023,1162,T1,1,57
1023,1166,T1,1,62.25
1023,1176,T1,1,57
1023,1177,T1,1,70.25
1023,1203,T1,1,57
1023,1246,T1,1,57
1023,1250,T1,1,57
1023,1342,T1,1,57
1023,1352,T1,1,48
1023,1372,T1,1,197.48
1023,1407,T1,1,0
1023,1410,T1,1,120.66
1023,1411,T1,1,64.7
1023,1414,T1,1,57
1023,1423,T1,1,57
1023,1425,T1,1,57
1023,1429,T1,1,57
1023,1431,T1,1,61.85
1023,1433,T1,1,102.48
1023,1434,T1,1,57
1023,1440,T1,1,119.68
1023,1442,T1,1,65.9
1023,1443,T1,1,117.88
1023,1448,T1,1,120.66
1023,1449,T1,1,119.68
1023,1454,T1,1,57
1023,1463,T1,1,57
1023,1467,T1,1,57
1023,1473,T1,1,247.99
1023,1482,T1,1,119.68
1023,1484,T1,1,57
1023,1499,T1,1,247.99
1023,1503,T1,1,247.99
1023,1506,T1,1,57
1023,1507,T1,1,219.7
1023,1516,T1,1,57
1023,1527,T1,1,57
1023,1531,T1,1,247.99
1023,1545,T1,1,70.25
1023,1559,T1,1,247.99
1023,1561,T1,1,229.81
1023,1564,T1,1,247.99
1023,1566,T1,1,0
1023,1567,T1,1,215.66
1023,1571,T1,1,247.99
1023,1572,T1,1,247.99
1023,1574,T1,1,247.99
1023,1576,T1,1,247.99
1023,1579,T1,1,247.99
1023,1580,T1,1,247.99
1023,1581,T1,1,120.66
1023,1590,T1,1,247.99
1023,1592,T1,1,247.99
1023,48FORTY,T1,1,0
1023,8001,T1,1,247.99
1023,8002,T1,1,247.99
1023,8003,T1,1,247.99
1023,8004,T1,1,247.99
1023,8006,T1,1,247.99
1023,8007,T1,1,247.99
1023,8008,T1,1,247.99
1023,8009,T1,1,247.99
1023,8011,T1,1,247.99
1023,8012,T1,1,247.99
1023,8013,T1,1,247.99
1023,8014,T1,1,247.99
1023,8015,T1,1,247.99
1023,8017,T1,1,247.99
1023,8018,T1,1,247.99
1023,8019,T1,1,247.99
1023,8020,T1,1,247.99
1023,8021,T1,1,247.99
1023,8023,T1,1,247.99
1023,8024,T1,1,247.99
1023,8025,T1,1,247.99
1023,8026,T1,1,247.99
1023,90005,T1,1,24
1023,90006,T1,1,24
1023,AMAZON,T1,1,57
1023,AVA,T1,1,247.99
1023,BAKKAFROST,T1,1,119.68
1023,CancelDuetoHours,T1,1,48
1023,CarrierCancel,T1,1,48
1023,CarrierLateCancel,T1,1,48
1023,CHEP,T1,1,0
1023,CiboVita,T1,1,57
1023,Congressional,T1,1,24
1023,DOT,T1,1,57
1023,FLEX1,T1,1,48
1023,FLEX2,T1,1,48
1023,FLEX3,T1,1,48
1023,LASSONDE,T1,1,57
1023,ONEBANANA,T1,1,57
1023,PREMIO,T1,1,120.66
1023,PREMIUMWATER,T1,1,81
1023,Purina Allentown,T1,1,57
1023,Purina Mechanicsburg,T1,1,0
1023,Standby(Overspill),T1,1,48
1023,TONU,T1,1,48
1023,TONULate,T1,1,48
1023,US0007,T1,1,48
1035,1023,T1,1,9
1035,1035,T1,1,0
1035,1081,T1,1,0
1035,1091,T1,1,0
1035,1094,T1,1,0
1035,1096,T1,1,0
1035,1119,T1,1,0
1035,1129,T1,1,10
1035,1134,T1,1,21.02
1035,1138,T1,1,0
1035,1162,T1,1,0
1035,1166,T1,1,5.25
1035,1176,T1,1,0
1035,1177,T1,1,23.4
1035,1203,T1,1,0
1035,1246,T1,1,0
1035,1250,T1,1,0
1035,1342,T1,1,0
1035,1352,T1,1,0
1035,1372,T1,1,127.3
1035,1407,T1,1,9
1035,1410,T1,1,55.52
1035,1411,T1,1,7.7
1035,1414,T1,1,10.15
1035,1423,T1,1,0
1035,1425,T1,1,10.15
1035,1429,T1,1,0
1035,1431,T1,1,0
1035,1433,T1,1,32.3
1035,1434,T1,1,0
1035,1440,T1,1,49.81
1035,1442,T1,1,0
1035,1443,T1,1,47.28
1035,1448,T1,1,55.52
1035,1449,T1,1,49.81
1035,1454,T1,1,0
1035,1463,T1,1,16
1035,1467,T1,1,0
1035,1473,T1,1,182.85
1035,1482,T1,1,49.81
1035,1484,T1,1,0
1035,1499,T1,1,182.85
1035,1503,T1,1,182.85
1035,1506,T1,1,0
1035,1507,T1,1,154.56
1035,1516,T1,1,0
1035,1527,T1,1,0
1035,1531,T1,1,182.85
1035,1545,T1,1,23.4
1035,1559,T1,1,182.85
1035,1561,T1,1,159.63
1035,1564,T1,1,182.85
1035,1566,T1,1,52
1035,1567,T1,1,150.52
1035,1571,T1,1,182.85
1035,1572,T1,1,182.85
1035,1574,T1,1,182.85
1035,1576,T1,1,182.85
1035,1579,T1,1,182.85
1035,1580,T1,1,182.85
1035,1581,T1,1,55.52
1035,1590,T1,1,182.85
1035,1592,T1,1,182.85
1035,48FORTY,T1,1,0
1035,8001,T1,1,182.85
1035,8002,T1,1,182.85
1035,8003,T1,1,182.85
1035,8004,T1,1,182.85
1035,8006,T1,1,182.85
1035,8007,T1,1,182.85
1035,8008,T1,1,182.85
1035,8009,T1,1,182.85
1035,8011,T1,1,182.85
1035,8012,T1,1,182.85
1035,8013,T1,1,182.85
1035,8014,T1,1,182.85
1035,8015,T1,1,182.85
1035,8017,T1,1,182.85
1035,8018,T1,1,182.85
1035,8019,T1,1,182.85
1035,8020,T1,1,182.85
1035,8021,T1,1,182.85
1035,8023,T1,1,182.85
1035,8024,T1,1,182.85
1035,8025,T1,1,182.85
1035,8026,T1,1,182.85
1035,90005,T1,1,33
1035,90006,T1,1,33
1035,AMAZON,T1,1,0
1035,AVA,T1,1,182.85
1035,BAKKAFROST,T1,1,49.81
1035,CancelDuetoHours,T1,1,9
1035,CarrierCancel,T1,1,9
1035,CarrierLateCancel,T1,1,9
1035,CHEP,T1,1,9
1035,CiboVita,T1,1,0
1035,Congressional,T1,1,33
1035,DOT,T1,1,0
1035,FLEX1,T1,1,9
1035,FLEX2,T1,1,9
1035,FLEX3,T1,1,9
1035,LASSONDE,T1,1,0
1035,ONEBANANA,T1,1,0
1035,PREMIO,T1,1,55.52
1035,PREMIUMWATER,T1,1,24
1035,Purina Allentown,T1,1,0
1035,Purina Mechanicsburg,T1,1,52
1035,Standby(Overspill),T1,1,9
1035,TONU,T1,1,9
1035,TONULate,T1,1,9
1035,US0007,T1,1,9
1081,1023,T1,1,0
1081,1035,T1,1,0
1081,1081,T1,1,0
1081,1091,T1,1,0
1081,1094,T1,1,0
1081,1096,T1,1,0
1081,1119,T1,1,0
1081,1129,T1,1,57
1081,1134,T1,1,24
1081,1138,T1,1,0
1081,1162,T1,1,0
1081,1166,T1,1,62.25
1081,1176,T1,1,0
1081,1177,T1,1,53.4
1081,1203,T1,1,0
1081,1246,T1,1,0
1081,1250,T1,1,0
1081,1342,T1,1,0
1081,1352,T1,1,0
1081,1372,T1,1,157.3
1081,1407,T1,1,0
1081,1410,T1,1,16.79
1081,1411,T1,1,0
1081,1414,T1,1,40.15
1081,1423,T1,1,24
1081,1425,T1,1,40.15
1081,1429,T1,1,24
1081,1431,T1,1,0
1081,1433,T1,1,0
1081,1434,T1,1,24
1081,1440,T1,1,0
1081,1442,T1,1,0
1081,1443,T1,1,8.71
1081,1448,T1,1,0
1081,1449,T1,1,10.87
1081,1454,T1,1,0
1081,1463,T1,1,16
1081,1467,T1,1,0
1081,1473,T1,1,144.12
1081,1482,T1,1,0
1081,1484,T1,1,0
1081,1499,T1,1,144.12
1081,1503,T1,1,144.12
1081,1506,T1,1,0
1081,1507,T1,1,55.77
1081,1516,T1,1,0
1081,1527,T1,1,0
1081,1531,T1,1,144.12
1081,1545,T1,1,53.4
1081,1559,T1,1,144.12
1081,1561,T1,1,189.63
1081,1564,T1,1,144.12
1081,1566,T1,1,0
1081,1567,T1,1,111.79
1081,1571,T1,1,144.12
1081,1572,T1,1,144.12
1081,1574,T1,1,144.12
1081,1576,T1,1,144.12
1081,1579,T1,1,144.12
1081,1580,T1,1,144.12
1081,1581,T1,1,16.79
1081,1590,T1,1,144.12
1081,1592,T1,1,144.12
1081,48FORTY,T1,1,0
1081,8001,T1,1,144.12
1081,8002,T1,1,144.12
1081,8003,T1,1,144.12
1081,8004,T1,1,144.12
1081,8006,T1,1,144.12
1081,8007,T1,1,144.12
1081,8008,T1,1,144.12
1081,8009,T1,1,144.12
1081,8011,T1,1,144.12
1081,8012,T1,1,144.12
1081,8013,T1,1,144.12
1081,8014,T1,1,144.12
1081,8015,T1,1,144.12
1081,8017,T1,1,144.12
1081,8018,T1,1,144.12
1081,8019,T1,1,144.12
1081,8020,T1,1,144.12
1081,8021,T1,1,144.12
1081,8023,T1,1,144.12
1081,8024,T1,1,144.12
1081,8025,T1,1,144.12
1081,8026,T1,1,144.12
1081,90005,T1,1,0
1081,90006,T1,1,0
1081,AMAZON,T1,1,0
1081,AVA,T1,1,144.12
1081,BAKKAFROST,T1,1,0
1081,CancelDuetoHours,T1,1,48
1081,CarrierCancel,T1,1,48
1081,CarrierLateCancel,T1,1,48
1081,CHEP,T1,1,0
1081,CiboVita,T1,1,0
1081,Congressional,T1,1,0
1081,DOT,T1,1,57
1081,FLEX1,T1,1,48
1081,FLEX2,T1,1,48
1081,FLEX3,T1,1,48
1081,LASSONDE,T1,1,0
1081,ONEBANANA,T1,1,0
1081,PREMIO,T1,1,0
1081,PREMIUMWATER,T1,1,0
1081,Purina Allentown,T1,1,0
1081,Purina Mechanicsburg,T1,1,0
1081,Standby(Overspill),T1,1,48
1081,TONU,T1,1,48
1081,TONULate,T1,1,48
1081,US0007,T1,1,48
1091,1023,T1,1,44
1091,1035,T1,1,37.5
1091,1081,T1,1,37.5
1091,1091,T1,1,0
1091,1094,T1,1,0
1091,1096,T1,1,22.5
1091,1119,T1,1,27.76
1091,1129,T1,1,45
1091,1134,T1,1,16.54
1091,1138,T1,1,37.5
1091,1162,T1,1,0
1091,1166,T1,1,40.25
1091,1176,T1,1,0
1091,1177,T1,1,13.25
1091,1203,T1,1,37.5
1091,1246,T1,1,37.5
1091,1250,T1,1,30
1091,1342,T1,1,0
1091,1352,T1,1,37.5
1091,1372,T1,1,122.76
1091,1407,T1,1,44
1091,1410,T1,1,51.4
1091,1411,T1,1,47.25
1091,1414,T1,1,0
1091,1423,T1,1,0
1091,1425,T1,1,0
1091,1429,T1,1,0
1091,1431,T1,1,0
1091,1433,T1,1,27.76
1091,1434,T1,1,0
1091,1440,T1,1,45.48
1091,1442,T1,1,37.5
1091,1443,T1,1,43.06
1091,1448,T1,1,51.4
1091,1449,T1,1,45.48
1091,1454,T1,1,0
1091,1463,T1,1,16
1091,1467,T1,1,0
1091,1473,T1,1,178.73
1091,1482,T1,1,45.48
1091,1484,T1,1,37.5
1091,1499,T1,1,178.73
1091,1503,T1,1,178.73
1091,1506,T1,1,37.5
1091,1507,T1,1,150.44
1091,1516,T1,1,37.5
1091,1527,T1,1,0
1091,1531,T1,1,178.73
1091,1545,T1,1,13.25
1091,1559,T1,1,178.73
1091,1561,T1,1,155.09
1091,1564,T1,1,178.73
1091,1566,T1,1,89.5
1091,1567,T1,1,146.4
1091,1571,T1,1,178.73
1091,1572,T1,1,178.73
1091,1574,T1,1,178.73
1091,1576,T1,1,178.73
1091,1579,T1,1,178.73
1091,1580,T1,1,178.73
1091,1581,T1,1,51.4
1091,1590,T1,1,178.73
1091,1592,T1,1,178.73
1091,48FORTY,T1,1,37.5
1091,8001,T1,1,178.73
1091,8002,T1,1,178.73
1091,8003,T1,1,178.73
1091,8004,T1,1,178.73
1091,8006,T1,1,178.73
1091,8007,T1,1,178.73
1091,8008,T1,1,178.73
1091,8009,T1,1,178.73
1091,8011,T1,1,178.73
1091,8012,T1,1,178.73
1091,8013,T1,1,178.73
1091,8014,T1,1,178.73
1091,8015,T1,1,178.73
1091,8017,T1,1,178.73
1091,8018,T1,1,178.73
1091,8019,T1,1,178.73
1091,8020,T1,1,178.73
1091,8021,T1,1,178.73
1091,8023,T1,1,178.73
1091,8024,T1,1,178.73
1091,8025,T1,1,178.73
1091,8026,T1,1,178.73
1091,90005,T1,1,68
1091,90006,T1,1,68
1091,AMAZON,T1,1,0
1091,AVA,T1,1,178.73
1091,BAKKAFROST,T1,1,45.48
1091,CancelDuetoHours,T1,1,44
1091,CarrierCancel,T1,1,44
1091,CarrierLateCancel,T1,1,44
1091,CHEP,T1,1,44
1091,CiboVita,T1,1,45.48
1091,Congressional,T1,1,68
1091,DOT,T1,1,35
1091,FLEX1,T1,1,44
1091,FLEX2,T1,1,44
1091,FLEX3,T1,1,44
1091,LASSONDE,T1,1,0
1091,ONEBANANA,T1,1,37.5
1091,PREMIO,T1,1,51.4
1091,PREMIUMWATER,T1,1,77.55
1091,Purina Allentown,T1,1,31.95
1091,Purina Mechanicsburg,T1,1,89.5
1091,Standby(Overspill),T1,1,44
1091,TONU,T1,1,44
1091,TONULate,T1,1,44
1091,US0007,T1,1,44
1094,1023,T1,1,44
1094,1035,T1,1,37.5
1094,1081,T1,1,37.5
1094,1091,T1,1,0
1094,1094,T1,1,0
1094,1096,T1,1,54.5
1094,1119,T1,1,31.93
1094,1129,T1,1,45
1094,1134,T1,1,19.99
1094,1138,T1,1,37.5
1094,1162,T1,1,0
1094,1166,T1,1,40.25
1094,1176,T1,1,11.09
1094,1177,T1,1,13.25
1094,1203,T1,1,37.5
1094,1246,T1,1,37.5
1094,1250,T1,1,37.5
1094,1342,T1,1,0
1094,1352,T1,1,37.5
1094,1372,T1,1,126.93
1094,1407,T1,1,44
1094,1410,T1,1,54.85
1094,1411,T1,1,45.2
1094,1414,T1,1,0
1094,1423,T1,1,0
1094,1425,T1,1,15.99
1094,1429,T1,1,0
1094,1431,T1,1,0
1094,1433,T1,1,31.93
1094,1434,T1,1,0
1094,1440,T1,1,48.88
1094,1442,T1,1,37.5
1094,1443,T1,1,46.87
1094,1448,T1,1,54.85
1094,1449,T1,1,48.88
1094,1454,T1,1,0
1094,1463,T1,1,0
1094,1467,T1,1,0
1094,1473,T1,1,182.18
1094,1482,T1,1,48.88
1094,1484,T1,1,37.5
1094,1499,T1,1,182.18
1094,1503,T1,1,182.18
1094,1506,T1,1,37.5
1094,1507,T1,1,153.89
1094,1516,T1,1,37.5
1094,1527,T1,1,0
1094,1531,T1,1,182.18
1094,1545,T1,1,13.25
1094,1559,T1,1,182.18
1094,1561,T1,1,159.26
1094,1564,T1,1,182.18
1094,1566,T1,1,37.5
1094,1567,T1,1,149.85
1094,1571,T1,1,182.18
1094,1572,T1,1,182.18
1094,1574,T1,1,182.18
1094,1576,T1,1,182.18
1094,1579,T1,1,182.18
1094,1580,T1,1,182.18
1094,1581,T1,1,54.85
1094,1590,T1,1,182.18
1094,1592,T1,1,182.18
1094,48FORTY,T1,1,37.5
1094,8001,T1,1,182.18
1094,8002,T1,1,182.18
1094,8003,T1,1,182.18
1094,8004,T1,1,182.18
1094,8006,T1,1,182.18
1094,8007,T1,1,182.18
1094,8008,T1,1,182.18
1094,8009,T1,1,182.18
1094,8011,T1,1,182.18
1094,8012,T1,1,182.18
1094,8013,T1,1,182.18
1094,8014,T1,1,182.18
1094,8015,T1,1,182.18
1094,8017,T1,1,182.18
1094,8018,T1,1,182.18
1094,8019,T1,1,182.18
1094,8020,T1,1,182.18
1094,8021,T1,1,182.18
1094,8023,T1,1,182.18
1094,8024,T1,1,182.18
1094,8025,T1,1,182.18
1094,8026,T1,1,182.18
1094,90005,T1,1,68
1094,90006,T1,1,68
1094,AMAZON,T1,1,0
1094,AVA,T1,1,182.18
1094,BAKKAFROST,T1,1,48.88
1094,CancelDuetoHours,T1,1,44
1094,CarrierCancel,T1,1,44
1094,CarrierLateCancel,T1,1,44
1094,CHEP,T1,1,44
1094,CiboVita,T1,1,48.88
1094,Congressional,T1,1,68
1094,DOT,T1,1,35
1094,FLEX1,T1,1,44
1094,FLEX2,T1,1,44
1094,FLEX3,T1,1,44
1094,LASSONDE,T1,1,0
1094,ONEBANANA,T1,1,37.5
1094,PREMIO,T1,1,54.85
1094,PREMIUMWATER,T1,1,61.5
1094,Purina Allentown,T1,1,37.5
1094,Purina Mechanicsburg,T1,1,37.5
1094,Standby(Overspill),T1,1,44
1094,TONU,T1,1,44
1094,TONULate,T1,1,44
1094,US0007,T1,1,44
1096,1023,T1,1,26
1096,1035,T1,1,0
1096,1081,T1,1,0
1096,1091,T1,1,0
1096,1094,T1,1,17
1096,1096,T1,1,0
1096,1119,T1,1,0
1096,1129,T1,1,27
1096,1134,T1,1,0
1096,1138,T1,1,0
1096,1162,T1,1,17
1096,1166,T1,1,22.25
1096,1176,T1,1,0
1096,1177,T1,1,0
1096,1203,T1,1,17
1096,1246,T1,1,0
1096,1250,T1,1,0
1096,1342,T1,1,0
1096,1352,T1,1,0
1096,1372,T1,1,102.42
1096,1407,T1,1,26
1096,1410,T1,1,16.79
1096,1411,T1,1,0
1096,1414,T1,1,0
1096,1423,T1,1,0
1096,1425,T1,1,0
1096,1429,T1,1,0
1096,1431,T1,1,17
1096,1433,T1,1,0
1096,1434,T1,1,0
1096,1440,T1,1,0
1096,1442,T1,1,0
1096,1443,T1,1,8.71
1096,1448,T1,1,0
1096,1449,T1,1,10.87
1096,1454,T1,1,0
1096,1463,T1,1,33
1096,1467,T1,1,0
1096,1473,T1,1,144.12
1096,1482,T1,1,0
1096,1484,T1,1,0
1096,1499,T1,1,144.12
1096,1503,T1,1,144.12
1096,1506,T1,1,17
1096,1507,T1,1,55.77
1096,1516,T1,1,0
1096,1527,T1,1,0
1096,1531,T1,1,144.12
1096,1545,T1,1,0
1096,1559,T1,1,144.12
1096,1561,T1,1,134.75
1096,1564,T1,1,144.12
1096,1566,T1,1,0
1096,1567,T1,1,111.79
1096,1571,T1,1,144.12
1096,1572,T1,1,144.12
1096,1574,T1,1,144.12
1096,1576,T1,1,144.12
1096,1579,T1,1,144.12
1096,1580,T1,1,144.12
1096,1581,T1,1,16.79
1096,1590,T1,1,144.12
1096,1592,T1,1,144.12
1096,48FORTY,T1,1,0
1096,8001,T1,1,144.12
1096,8002,T1,1,144.12
1096,8003,T1,1,144.12
1096,8004,T1,1,144.12
1096,8006,T1,1,144.12
1096,8007,T1,1,144.12
1096,8008,T1,1,144.12
1096,8009,T1,1,144.12
1096,8011,T1,1,144.12
1096,8012,T1,1,144.12
1096,8013,T1,1,144.12
1096,8014,T1,1,144.12
1096,8015,T1,1,144.12
1096,8017,T1,1,144.12
1096,8018,T1,1,144.12
1096,8019,T1,1,144.12
1096,8020,T1,1,144.12
1096,8021,T1,1,144.12
1096,8023,T1,1,144.12
1096,8024,T1,1,144.12
1096,8025,T1,1,144.12
1096,8026,T1,1,144.12
